"Major","ComplexType","ComplexDescr","NbrBldgs","NbrStories","NbrUnits","AvgUnitSize","LandPerUnit","ProjectLocation","ProjectAppeal","PcntWithView","ConstrClass","BldgQuality","Condition","YrBuilt","EffYr","PcntComplete","Elevators","SectySystem","Fireplace","Laundry","AptConversion","CondoLandType","Address","BuildingNumber","Fraction","DirectionPrefix","StreetName","StreetType","DirectionSuffix","ZipCode"
"001140","1","18 UNIT CONDO","1","5","18","1086","545","4","3","0","4","6","3","2005","2005","100","Y","Y","Y","2","N","1","200       W  COMSTOCK                  ST      98119","200  ","   ","W ","COMSTOCK                 ","ST  ","  ","98119"
"005450","1","Flats","2","4","16","1140","898","3","3","0","4","6","4","1992","2004","100","Y","Y","Y","2","N","1","2125         CALIFORNIA                AVE  SW 98116","2125 ","   ","  ","CALIFORNIA               ","AVE ","SW","98116"
"008600","4","75 Unit Condo","1","7","75","691","0","3","3","15","4","4","3","2002","2002","100","Y","Y","N","2","Y","1","668       S  LANE                      ST      98104","668  ","   ","S ","LANE                     ","ST  ","  ","98104"
"009840","1","129 Unit Townhomes","44","3","129","2029","2859","3","3","0","4","5","3","2019","2019","100","N","N","Y","2","N","1","13598        NEWCASTLE COMMONS         DR      ","13598","   ","  ","NEWCASTLE COMMONS        ","DR  ","  ",""
"010320","1","4 UNIT CONDO","2","2","4","1580","3175","4","3","0","4","5","3","1998","1998","100","N","N"," ","2","N","1","441       NE ALDER                     ST      98027","441  ","   ","NE","ALDER                    ","ST  ","  ","98027"
"012780","3"," Warehouse","1","1","6","2520","7478","3","3","0","3","4","3","2006","2006","100"," "," "," ","0"," ","1","901          ALGONA                    BLVD N  98001","901  ","   ","  ","ALGONA                   ","BLVD","N ","98001"
"012930","1","4 FLAT UNITS","1","2","4","976","1920","3","3","0","4","5","3","1980","2005","100","N","N","N","2","Y","1","8614         26TH                      AVE  SW 98106","8614 ","   ","  ","26TH                     ","AVE ","SW","98106"
"013905","1","3 UNITS","1","3","3","1567","2818","4","4","0","4","6","3","1998","1998","100","N","Y","Y","2","Y","1","3830         59TH                      AVE  SW 98116","3830 ","   ","  ","59TH                     ","AVE ","SW","98116"
"015610","1","Townhouses","1","3","2","2365","4312","5","4","0","4","6","4","1983","2001","100","N","Y","Y","2","Y","1","3089         ALKI                      AVE  SW 98116","3089 ","   ","  ","ALKI                     ","AVE ","SW","98116"
"015650","1","3 FLAT UNITS","1","3","3","1395","1849","5","4","0","4","6","5","1966","1996","100","N","N","Y","2","Y","1","3085         ALKI                      AVE  SW 98116","3085 ","   ","  ","ALKI                     ","AVE ","SW","98116"
"019243","1","Alphabet Ridge 2020 - 2 Det'd SF","2","3","2","2359","2750","4","4","0","4","6","3","2022","2022","100","N","N","Y","2","N","1","605          4TH                       ST      98033","605  ","   ","  ","4TH                      ","ST  ","  ","98033"
"019325","1","FLATS","1","5","27","717","445","3","3","0","4","5","4","1967","1977","100","Y","Y","N","1","Y","1","308          SUMMIT                    AVE  E  98102","308  ","   ","  ","SUMMIT                   ","AVE ","E ","98102"
"019370","1","DET SFR CONDO UNITS","8","2","8","2726","7500","3","3","0","4","5","3","2013","2013","100","N","N","Y","2","N","1","2100      NE 177TH                     ST      E 98155","2100 ","   ","NE","177TH                    ","ST  ","  ","E 98155"
"019380","1","Townhouses, in Phases","17","3","80","1818","11853","3","3","0","4","5","3","2008","2008","100","N","N","Y","2","N","1","4276         213TH                     PL   SE 98029","4276 ","   ","  ","213TH                    ","PL  ","SE","98029"
"020006","4","FLATS, PARKING & CML","2","5","67","667","271","3","3","0","4","4","4","1992","1992","100","Y","Y","Y","2","N","1","506       E  HOWELL                    ST      98122","506  ","   ","E ","HOWELL                   ","ST  ","  ","98122"
"020021","1","FLATS","3","3","56","855","1786","3","3","0","4","4","4","1981","1996","100","N","N","Y","2","N","1","17430        AMBAUM                    BLVD S  98148","17430","   ","  ","AMBAUM                   ","BLVD","S ","98148"
"020260","1","TOWNHOUSES","2","3","13","1124","2071","4","3","50","4","5","4","1982","1995","100","N","N","Y","2","N","1","3940      S  AMERICUS                  ST      98118","3940 ","   ","S ","AMERICUS                 ","ST  ","  ","98118"
